Lateness,JoystickPosition
1,0.128
1,0.465
1,0.425
1,0.317
1,0.153
1,0.305
1,0.165
1,0.911
1,0.162
1,0.076
1,0.679
1,0.259
1,0.577
1,0.409
1,0.49
1,0.646
1,0.195
1,0.192
1,0.199
1,0.673
1,0.195
1,0.183
1,0.463
1,0.172
1,0.098
1,0.395
1,0.092
1,0.655
1,0.432
1,0.095
1,0.357
1,0.183
1,0.22
1,0.056
1,0.903
1,0.086
1,0
1,0.192
1,0.092
1,0.646
1,0.352
1,0.318
1,0.709
1,0.268
1,0.402
1,0.268
1,0.393
1,0.242
1,0.709
1,0.767
1,0.685
1,0.352
1,0.153
1,0.942
1,0.464
1,0.502
1,0
1,0.233
1,0.749
1,0.305
1,0.192
1,0.134
1,0.667
1,0.465
1,0.256
1,0.281
1,0.812
2,0.887
2,0.723
2,0.656
2,0
2,0.268
2,0.256
2,0.298
2,0
2,0.515
2,0.317
2,0.377
2,0.303
2,0
2,0.75
2,0.357
2,0.375
2,0.36
2,0.114
2,0.653
2,0.317
2,0.832
2,0.099
2,0.664
2,0.803
2,0
2,0.634
2,0.501
2,0.253
2,0.373
2,0.522
2,0.413
2,0.157
2,0.523
2,0.639
2,0.195
2,0.763
2,0.215
2,0.153
2,0.761
2,0.502
2,0.317
2,0
2,0.669
2,0.318
2,0.646
2,0.569
2,0.497
2,0.709
2,0
2,0.29
2,0.027
2,0.386
2,0.734
2,0.326
2,0.281
2,0.631
2,0.441
2,0.901
2,0.631
2,0.879
2,0
2,0.37
2,0.362
2,0.395
2,0.352
2,0.903
2,0.269
3,0.579
3,0.611
3,0.797
3,0
3,0.462
3,0.281
3,0.48
3,0.268
3,0.734
3,0.157
3,0.589
3,0.215
3,0.395
3,0.215
3,0.749
3,0.2
3,0.71
3,0
3,0.157
3,0.522
3,0.268
3,0.195
3,0.172
3,0.441
3,0.482
3,0.668
3,0.412
3,0.066
3,0.157
3,0.553
3,0.859
3,0.593
3,0.815
3,0.34
3,0.326
3,0.852
3,0.749
3,0.195
3,0.22
3,0.305
3,0.411
3,0.463
3,0.785
3,0.518
3,0.326
3,0.215
3,0.559
3,0
3,0
3,0.709
3,0.711
3,0.838
3,0.195
3,0.36
3,0.195
3,0.086
3,0
3,0.368
3,0.579
3,0.231
3,0.412
3,0.395
3,0.183
3,0
3,0.341
3,0.597
3,0.51
4,0.658
4,0.278
4,0.541
4,0.468
4,0.694
4,0.668
4,0.63
4,0.769
4,0.685
4,0.685
4,0.685
4,0.579
4,0.395
4,0.579
4,0.395
4,0.443
4,0.221
4,0.915
4,0.459
4,0.519
4,0.394
4,0.718
4,0.807
4,0.968
4,0.912
4,0.886
4,0.897
4,0.801
4,0.725
4,0.735
4,0.916
4,0.916
4,0.664
4,0.863
4,0.589
4,0.646
4,0.539
4,0.665
4,0.465
4,0.432
4,0.195
4,0.352
4,0.195
4,0.281
4,0.157
4,0.195
