Lateness1,Lateness2,Lateness3,Lateness4
0.128,0.887,0.579,0.658
0.465,0.723,0.611,0.278
0.425,0.656,0.797,0.541
0.317,0,0,0.468
0.153,0.268,0.462,0.694
0.305,0.256,0.281,0.668
0.165,0.298,0.48,0.63
0.911,0,0.268,0.769
0.162,0.515,0.734,0.685
0.076,0.317,0.157,0.685
0.679,0.377,0.589,0.685
0.259,0.303,0.215,0.579
0.577,0,0.395,0.395
0.409,0.75,0.215,0.579
0.49,0.357,0.749,0.395
0.646,0.375,0.2,0.443
0.195,0.36,0.71,0.221
0.192,0.114,0,0.915
0.199,0.653,0.157,0.459
0.673,0.317,0.522,0.519
0.195,0.832,0.268,0.394
0.183,0.099,0.195,0.718
0.463,0.664,0.172,0.807
0.172,0.803,0.441,0.968
0.098,0,0.482,0.912
0.395,0.634,0.668,0.886
0.092,0.501,0.412,0.897
0.655,0.253,0.066,0.801
0.432,0.373,0.157,0.725
0.095,0.522,0.553,0.735
0.357,0.413,0.859,0.916
0.183,0.157,0.593,0.916
0.22,0.523,0.815,0.664
0.056,0.639,0.34,0.863
0.903,0.195,0.326,0.589
0.086,0.763,0.852,0.646
0,0.215,0.749,0.539
0.192,0.153,0.195,0.665
0.092,0.761,0.22,0.465
0.646,0.502,0.305,0.432
0.352,0.317,0.411,0.195
0.318,0,0.463,0.352
0.709,0.669,0.785,0.195
0.268,0.318,0.518,0.281
0.402,0.646,0.326,0.157
0.268,0.569,0.215,0.195
0.393,0.497,0.559,0.317
0.242,0.709,0,0.066
0.709,0,0,0.066
0.767,0.29,0.709,0.497
0.685,0.027,0.711,0.29
0.352,0.386,0.838,0.215
0.153,0.734,0.195,0.231
0.942,0.326,0.36,0.467
0.464,0.281,0.195,0.215
0.502,0.631,0.086,0.38
0,0.441,0,0.539
0.233,0.901,0.368,0.192
0.749,0.631,0.579,0.128
0.305,0.879,0.231,0.231
0.192,0,0.412,0.152
0.134,0.37,0.395,0.176
0.667,0.362,0.183,0.192
0.465,0.395,0,0.152
0.256,0.352,0.341,0
0.281,0.903,0.597,0
0.812,0.269,0.51,0
0.63,0.727,0.357,0.53
0.321,0.401,0.416,0.396
0.057,0.05,0.317,0.702
0.063,0.094,0,0.658
0.204,0.06,0.099,0.978
0.543,0.099,0.127,0.951
0.418,0.051,0.609,0.946
0.734,0.055,0.328,0.946
0.625,0.275,0.03,0.872
0.058,0.038,0.009,0.948
0.021,0.58,0,0.036
0.239,0.094,1,0.604
0.62,0.024,0.902,0.007
0.364,0.903,0.108,0
0.574,0.195,0.738,0.956
0.107,0.458,0.303,0.68
0.011,0.835,0.082,0.975
0.108,0.03,0.638,0.042
0.309,0.047,0.873,0.127
0.208,0.98,0.91,0.48
0.835,0.965,0.515,0.432
0.966,0.036,0.734,0.394
0.661,0.697,0.995,0.116
0.243,0.016,0.094,0.027
0.445,0.548,0.699,0.213
0.319,0.016,0.839,0.316
0.528,0.027,0.897,0.568
0.581,0.44,0.377,0.085
0.484,0.958,0.607,0.632
0.381,0.036,0.127,0.016
0.395,0.209,0.962,0.549
0.065,0.289,0.055,0.055
0.431,0.267,0.946,0.706
0.627,0.279,0.019,0.198
0.908,0.431,1,0.491
0.135,0.055,0.857,0.339
0.082,0.627,0.901,0.03
0.368,0.526,0.544,0.227
0.909,0.483,0.55,0.374
0.519,0,0.016,0.538
0.103,0.931,0.657,0.539
0.218,0,0.037,0.97
0.272,0.108,0.331,0.513
0.946,0,0.92,1
0.038,0.038,0.697,0.501
0,0.211,0.537,0.699
1,0,1,0.385
0.558,0.643,0.055,0.366
0.549,0.126,0.903,0.47
0.525,0.021,0.376,0.699
0.97,0.137,0.089,1
0.628,0.692,0.691,0.429
0.086,0.524,1,0.959
0.393,0.19,0.685,0.769
0.071,0.101,0.57,0.213
0.587,0.049,0.177,0.165
0.797,0.143,0.628,0.499
0.065,0.458,0.97,0.938
0.049,0,0.088,0.554
0,0.05,0.021,0.213
0.672,0.338,0.71,0.129
0.729,0.381,0.42,0.556
0.714,0.556,0.489,1
0.516,0.649,0.406,1
0.447,0.285,0.671,0.107
0.119,0.044,0.966,0.524
0.079,0.078,0.078,0.037
0.489,0.065,0.614,0.175
0.11,0.14,0.028,0.125
0.5,0.042,0.302,0.097
0.14,0.097,0.091,0.48
0.088,0.114,0.059,0.064
0.021,0.078,0.11,0.6
0.163,0.075,0.122,0.544
1,0.021,0,0.963
0.222,0.058,0.253,0.965
0.963,0.12,0.037,0.735
0.058,0.075,0.032,0.29
0.57,0.059,0.048,0.23
0.303,0,0.088,0.767
0.078,0.013,0.156,0.99
0.963,0.033,0.075,0.854
0.128,0.078,0.11,0.514
0.119,0.094,0.514,0.073
0.125,0.119,0.075,0.576
0.078,0.073,0.096,0.436
0.073,0.122,0.529,0.629
0.094,0.076,0.468,0.572
0.658,0.156,0.641,0.698
0.071,0.088,0.25,0.557
0.114,0,0.752,0.748
0.122,0.021,0.257,0.719
0.131,0.055,0.347,0.743
0.697,0.083,0.073,1
0.075,0.059,0.14,0.954
1,0.126,0.021,0.95
0.075,0.254,0.077,0.965
0.837,0.058,0.63,0.988
0.037,0.14,0.094,0.604
0.875,0.043,0.347,0.439
0.077,0.377,0.163,0.432
0.049,0.026,0.078,0.967
0.984,0.076,0.071,0.967
0.517,0.037,0.042,0.967
0.042,0.094,0.088,0.934
0,0.058,0.054,1
0.107,0.058,0.14,0.981
0.363,0.066,0.078,0.15
0.132,0.101,0,0.947
0.078,0.021,0.077,0.764
1,0.125,0.449,1
0.474,0.073,0.173,1
0.485,0.122,0.548,0.981
0.926,0.083,0.711,1
