Lateness,LogJoystickPosition
1,0.174
1,0.551
1,0.511
1,0.397
1,0.205
1,0.384
1,0.22
1,0.934
1,0.217
1,0.106
1,0.748
1,0.332
1,0.657
1,0.495
1,0.575
1,0.719
1,0.257
1,0.253
1,0.262
1,0.742
1,0.257
1,0.242
1,0.549
1,0.229
1,0.135
1,0.48
1,0.127
1,0.727
1,0.518
1,0.131
1,0.44
1,0.242
1,0.287
1,0.079
1,0.928
1,0.119
1,0
1,0.253
1,0.127
1,0.719
1,0.435
1,0.398
1,0.773
1,0.343
1,0.487
1,0.343
1,0.478
1,0.313
1,0.773
1,0.821
1,0.753
1,0.435
1,0.205
1,0.958
1,0.55
1,0.587
1,0
1,0.302
1,0.807
1,0.384
1,0.253
1,0.181
1,0.737
1,0.551
1,0.329
1,0.357
1,0.858
2,0.916
2,0.785
2,0.728
2,0
2,0.343
2,0.329
2,0.376
2,0
2,0.599
2,0.397
2,0.462
2,0.382
2,0
2,0.807
2,0.44
2,0.459
2,0.444
2,0.156
2,0.725
2,0.397
2,0.873
2,0.136
2,0.735
2,0.85
2,0
2,0.708
2,0.586
2,0.325
2,0.457
2,0.606
2,0.499
2,0.21
2,0.607
2,0.713
2,0.257
2,0.818
2,0.281
2,0.205
2,0.816
2,0.587
2,0.397
2,0
2,0.739
2,0.398
2,0.719
2,0.65
2,0.582
2,0.773
2,0
2,0.367
2,0.038
2,0.471
2,0.794
2,0.407
2,0.357
2,0.706
2,0.527
2,0.927
2,0.706
2,0.91
2,0
2,0.454
2,0.446
2,0.48
2,0.435
2,0.928
2,0.344
3,0.659
3,0.688
3,0.846
3,0
3,0.548
3,0.357
3,0.566
3,0.343
3,0.794
3,0.21
3,0.668
3,0.281
3,0.48
3,0.281
3,0.807
3,0.263
3,0.774
3,0
3,0.21
3,0.606
3,0.343
3,0.257
3,0.229
3,0.527
3,0.568
3,0.738
3,0.498
3,0.092
3,0.21
3,0.635
3,0.895
3,0.672
3,0.86
3,0.422
3,0.407
3,0.889
3,0.807
3,0.257
3,0.287
3,0.384
3,0.497
3,0.549
3,0.836
3,0.602
3,0.407
3,0.281
3,0.641
3,0
3,0
3,0.773
3,0.775
3,0.878
3,0.257
3,0.444
3,0.257
3,0.119
3,0
3,0.452
3,0.659
3,0.3
3,0.498
3,0.48
3,0.242
3,0
3,0.423
3,0.675
3,0.595
4,0.729
4,0.354
4,0.624
4,0.554
4,0.76
4,0.738
4,0.705
4,0.823
4,0.753
4,0.753
4,0.753
4,0.659
4,0.48
4,0.659
4,0.48
4,0.529
4,0.288
4,0.937
4,0.545
4,0.603
4,0.479
4,0.781
4,0.854
4,0.977
4,0.935
4,0.915
4,0.924
4,0.849
4,0.787
4,0.795
4,0.938
4,0.938
4,0.735
4,0.898
4,0.668
4,0.719
4,0.622
4,0.736
4,0.551
4,0.518
4,0.257
4,0.435
4,0.257
4,0.357
4,0.21
4,0.257
4,0.397
4,0.092
4,0.092
4,0.582
4,0.367
4,0.281
4,0.3
4,0.553
4,0.281
4,0.465
4,0.622
4,0.253
4,0.174
4,0.3
4,0.204
4,0.234
4,0.253
4,0.204
4,0
4,0
4,0
1,0.705
1,0.402
1,0.08
1,0.088
1,0.268
1,0.626
1,0.504
1,0.794
1,0.7
1,0.081
1,0.03
1,0.309
1,0.696
1,0.448
1,0.654
1,0.147
1,0.016
1,0.148
1,0.388
1,0.273
1,0.876
1,0.975
1,0.732
1,0.314
1,0.531
1,0.399
1,0.612
1,0.661
1,0.569
1,0.466
1,0.48
1,0.091
1,0.517
1,0.702
1,0.932
1,0.183
1,0.114
1,0.452
1,0.933
1,0.603
1,0.141
1,0.285
1,0.347
1,0.961
1,0.054
1,0
1,1
1,0.64
1,0.631
1,0.609
1,0.978
1,0.703
1,0.119
1,0.478
1,0.099
1,0.666
1,0.846
1,0.091
1,0.069
1,0
1,0.742
1,0.79
1,0.777
1,0.6
1,0.533
2,0.788
2,0.486
2,0.07
2,0.13
2,0.084
2,0.136
2,0.072
2,0.077
2,0.35
2,0.054
2,0.66
2,0.13
2,0.034
2,0.928
2,0.257
2,0.544
2,0.876
2,0.043
2,0.066
2,0.986
2,0.975
2,0.051
2,0.763
2,0.023
2,0.63
2,0.023
2,0.038
2,0.526
2,0.969
2,0.051
2,0.274
2,0.366
2,0.341
2,0.355
2,0.517
2,0.077
2,0.702
2,0.61
2,0.569
2,0
2,0.949
2,0
2,0.148
2,0
2,0.054
2,0.276
2,0
2,0.716
2,0.171
2,0.03
2,0.185
2,0.759
2,0.608
2,0.251
2,0.139
2,0.069
2,0.193
2,0.544
2,0
2,0.07
2,0.42
2,0.466
2,0.638
2,0.722
2,0.362
3,0.44
3,0.502
3,0.397
3,0
3,0.136
