Lateness,JoystickPosition
1,0.079
1,0.073
1,0.5
1,0.122
1,0.076
1,0.107
1,0.06
1,0.09
1,0.066
1,0.132
1,0.269
1,0.066
1,0.125
1,0.09
1,0.078
1,0.169
1,0.125
1,0.638
1,0.049
1,0.21
1,0.078
1,0.085
1,0.363
1,0.226
1,0.391
1,0.206
1,0.882
1,0
1,0.941
1,0.078
1,0.122
1,1
1,0.078
1,0.114
1,0.058
1,0.963
1,0.163
1,0.264
1,0.305
1,0.388
1,0.201
1,0.075
1,0.735
1,0.043
1,0.929
1,0.042
1,0.131
1,0.097
1,0.356
1,0.57
1,0.865
1,0.101
1,0.101
1,0.698
1,0.11
1,0.078
1,0.57
1,0.073
1,0.169
1,0.298
1,0.485
1,0.075
1,0.043
1,0.119
1,0.122
1,0.101
1,0.697
2,0.296
2,0.064
2,0.075
2,0.014
2,0.14
2,0.13
2,0.054
2,0.021
2,0.052
2,0.048
2,0.042
2,0.374
2,0.083
2,0.094
2,0.137
2,0.073
2,0.101
2,0.075
2,0.094
2,0.071
2,0.578
2,0.11
2,0.073
2,0.013
2,0.088
2,0.071
2,0.073
2,0.075
2,0.122
2,0.122
2,0.073
2,0.059
2,0.11
2,0
2,0.076
2,0.174
2,0.119
2,0.073
2,0.075
2,0.11
2,0.075
2,0.17
2,0.094
2,0.075
2,0.078
2,0.043
2,0.059
2,0.125
2,0.575
2,0.078
2,0.078
2,0.073
2,0.156
2,0.075
2,0
2,0.085
2,0.058
2,0
2,0.021
2,0.11
2,0.058
2,0.14
2,0.059
2,0.078
2,0.517
2,0.242
2,0.119
3,0.633
3,0.062
3,0.037
3,0.11
3,0.037
3,0.548
3,0.335
3,0.332
3,0.173
3,0.614
3,0.11
3,0
3,0.548
3,0.362
3,0
3,0.347
3,0.523
3,0.449
3,0.267
3,0.641
3,0.071
3,0.725
3,1
3,0.054
3,0.078
3,0
3,0.075
3,0.592
3,0.107
3,0.25
3,0.088
3,0.077
3,0.169
3,0.021
3,0.752
3,0.323
3,0.14
3,0.956
3,0.57
3,0.042
3,0.643
3,0.077
3,0.468
3,0.711
3,0.094
3,0.059
3,0.471
3,0.11
3,0.358
3,0.173
3,0.048
3,0.14
3,0.347
3,0.078
3,0
3,0.096
3,0.432
3,0.175
3,0.091
3,0.585
3,0.253
3,0.553
3,0.073
3,0.064
3,0
3,0.683
3,0
4,0.524
4,0.037
4,0.175
4,0.125
4,0.097
4,0.48
4,0.064
4,0.6
4,0.544
4,0.963
4,0.965
4,0.735
4,0.29
4,0.23
4,0.767
4,0.99
4,0.854
4,0.514
4,0.073
4,0.576
4,0.436
4,0.629
4,0.572
4,0.698
4,0.557
4,0.748
4,0.719
4,0.743
4,1
4,0.954
4,0.95
4,0.965
4,0.988
4,0.604
4,0.439
4,0.432
4,0.967
4,0.967
4,0.967
4,0.934
4,1
4,0.981
4,0.15
4,0.947
4,0.764
4,1
4,1
4,0.981
4,1
4,0.447
4,0.456
4,1
4,0.612
4,0.5
4,0.769
4,0.631
4,1
4,0.74
4,0.674
4,0.565
4,0.376
4,0.522
4,0.815
4,0.413
4,0.533
4,1
4,0.357
